"amount_above_avg","cust_id","avg_per_customer"
"5.99","1","3.708750"
"9.99","1","3.708750"
"4.99","1","3.708750"
"4.99","1","3.708750"
"3.99","1","3.708750"
"5.99","1","3.708750"
"5.99","1","3.708750"
"4.99","1","3.708750"
"4.99","1","3.708750"
"7.99","1","3.708750"
"4.99","1","3.708750"
"4.99","1","3.708750"
"4.99","1","3.708750"
"3.99","1","3.708750"
"4.99","1","3.708750"
"5.99","1","3.708750"
"4.99","2","4.767778"
"6.99","2","4.767778"
"4.99","2","4.767778"
"5.99","2","4.767778"
"5.99","2","4.767778"
"5.99","2","4.767778"
"5.99","2","4.767778"
"4.99","2","4.767778"
"10.99","2","4.767778"
"6.99","2","4.767778"
"6.99","2","4.767778"
"5.99","2","4.767778"
"6.99","2","4.767778"
"4.99","2","4.767778"
"5.99","2","4.767778"
"4.99","2","4.767778"
"4.99","2","4.767778"
"8.99","3","5.220769"
"6.99","3","5.220769"
"6.99","3","5.220769"
"5.99","3","5.220769"
"10.99","3","5.220769"
"7.99","3","5.220769"
"6.99","3","5.220769"
"5.99","3","5.220769"
"8.99","3","5.220769"
"8.99","3","5.220769"
"6.99","5","3.805789"
"3.99","5","3.805789"
"4.99","5","3.805789"
"4.99","5","3.805789"
"4.99","5","3.805789"
"4.99","5","3.805789"
"5.99","5","3.805789"
"8.99","5","3.805789"
"3.99","5","3.805789"
"4.99","5","3.805789"
"3.99","5","3.805789"
"4.99","5","3.805789"
"3.99","5","3.805789"
"4.99","5","3.805789"
"4.99","5","3.805789"
"4.99","5","3.805789"
"3.99","5","3.805789"
"9.99","5","3.805789"
"6.99","5","3.805789"
"6.99","5","3.805789"
"5.99","7","4.596061"
"4.99","7","4.596061"
"5.99","7","4.596061"
"4.99","7","4.596061"
"5.99","7","4.596061"
"5.99","7","4.596061"
"4.99","7","4.596061"
"8.99","7","4.596061"
"7.99","7","4.596061"
"5.99","7","4.596061"
"7.99","7","4.596061"
"6.99","7","4.596061"
"5.99","7","4.596061"
"4.99","7","4.596061"
"4.99","7","4.596061"
"7.99","7","4.596061"
"8.99","7","4.596061"
"5.99","7","4.596061"
"4.99","10","3.990000"
"4.99","10","3.990000"
"4.99","10","3.990000"
"4.99","10","3.990000"
"7.99","10","3.990000"
"6.99","10","3.990000"
"4.99","10","3.990000"
"4.99","10","3.990000"
"8.99","10","3.990000"
"4.99","10","3.990000"
"5.99","10","3.990000"
"4.99","12","3.704286"
"4.99","12","3.704286"
"5.99","12","3.704286"
"5.99","12","3.704286"
"5.99","12","3.704286"
"4.99","12","3.704286"
"3.99","12","3.704286"
"3.99","12","3.704286"
"4.99","12","3.704286"
"5.99","12","3.704286"
"5.99","12","3.704286"
"5.99","12","3.704286"
"10.99","12","3.704286"
"4.99","12","3.704286"
"4.99","12","3.704286"
"5.99","15","4.208750"
"7.99","15","4.208750"
"5.99","15","4.208750"
"4.99","15","4.208750"
"6.99","15","4.208750"
"4.99","15","4.208750"
"7.99","15","4.208750"
"8.99","15","4.208750"
"5.99","15","4.208750"
"5.99","15","4.208750"
"4.99","15","4.208750"
"4.99","15","4.208750"
"8.99","15","4.208750"
"4.99","15","4.208750"
"4.99","17","4.704286"
"5.99","17","4.704286"
"8.99","17","4.704286"
"5.99","17","4.704286"
"8.99","17","4.704286"
"8.99","17","4.704286"
"8.99","17","4.704286"
"4.99","17","4.704286"
"5.99","17","4.704286"
"9.99","19","5.240000"
"6.99","19","5.240000"
"5.99","19","5.240000"
"9.99","19","5.240000"
"7.99","19","5.240000"
"8.99","19","5.240000"
"5.99","19","5.240000"
"9.99","19","5.240000"
"8.99","19","5.240000"
"8.99","19","5.240000"
"7.99","21","4.447143"
"4.99","21","4.447143"
"4.99","21","4.447143"
"10.99","21","4.447143"
"4.99","21","4.447143"
"6.99","21","4.447143"
"5.99","21","4.447143"
"4.99","21","4.447143"
"4.99","21","4.447143"
"6.99","21","4.447143"
"4.99","21","4.447143"
"4.99","21","4.447143"
"8.99","21","4.447143"
"9.99","21","4.447143"
"4.99","21","4.447143"
"8.99","21","4.447143"
"4.99","21","4.447143"
"8.99","22","5.171818"
"6.99","22","5.171818"
"7.99","22","5.171818"
"5.99","22","5.171818"
"9.99","22","5.171818"
"6.99","22","5.171818"
"7.99","22","5.171818"
"6.99","22","5.171818"
"7.99","25","3.990000"
"4.99","25","3.990000"
"6.99","25","3.990000"
"8.99","25","3.990000"
"4.99","25","3.990000"
"4.99","25","3.990000"
"4.99","25","3.990000"
"8.99","25","3.990000"
"5.99","25","3.990000"
"4.99","25","3.990000"
"4.99","25","3.990000"
"5.99","25","3.990000"
"4.99","28","3.490000"
"3.99","28","3.490000"
"4.99","28","3.490000"
"5.99","28","3.490000"
"9.99","28","3.490000"
"4.99","28","3.490000"
"4.99","28","3.490000"
"4.99","28","3.490000"
"6.99","28","3.490000"
"3.99","28","3.490000"
"4.99","28","3.490000"
"4.99","28","3.490000"
"4.99","30","3.637059"
"4.99","30","3.637059"
"5.99","30","3.637059"
"9.99","30","3.637059"
"7.99","30","3.637059"
"4.99","30","3.637059"
"4.99","30","3.637059"
"4.99","30","3.637059"
"4.99","30","3.637059"
"6.99","30","3.637059"
"4.99","30","3.637059"
"4.99","30","3.637059"
"4.99","30","3.637059"
"4.99","32","4.403793"
"4.99","32","4.403793"
"4.99","32","4.403793"
"6.99","32","4.403793"
"5.99","32","4.403793"
"9.99","32","4.403793"
"6.99","32","4.403793"
"5.99","32","4.403793"
"5.99","32","4.403793"
"4.99","32","4.403793"
"4.99","32","4.403793"
"9.99","32","4.403793"
"8.99","32","4.403793"
"5.99","32","4.403793"
"4.99","37","4.163913"
"7.99","37","4.163913"
"5.99","37","4.163913"
"5.99","37","4.163913"
"9.99","37","4.163913"
"5.99","37","4.163913"
"7.99","37","4.163913"
"4.99","37","4.163913"
"8.99","37","4.163913"
"4.99","38","3.754706"
"3.99","38","3.754706"
"5.99","38","3.754706"
"4.99","38","3.754706"
"4.99","38","3.754706"
"5.99","38","3.754706"
"4.99","38","3.754706"
"5.99","38","3.754706"
"5.99","38","3.754706"
"3.99","38","3.754706"
"4.99","38","3.754706"
"6.99","38","3.754706"
"3.99","38","3.754706"
"4.99","38","3.754706"
"4.99","38","3.754706"
"6.99","38","3.754706"
"5.99","38","3.754706"
"5.99","39","4.886552"
"4.99","39","4.886552"
"4.99","39","4.886552"
"4.99","39","4.886552"
"4.99","39","4.886552"
"5.99","39","4.886552"
"8.99","39","4.886552"
"6.99","39","4.886552"
"7.99","39","4.886552"
"4.99","39","4.886552"
"6.99","39","4.886552"
"7.99","39","4.886552"
"4.99","39","4.886552"
"4.99","39","4.886552"
"4.99","39","4.886552"
"4.99","39","4.886552"
"9.99","39","4.886552"
"4.99","39","4.886552"
"7.99","39","4.886552"
"5.99","39","4.886552"
"4.99","41","4.750000"
