"cust_id","transaction_amount","pay_class"
"1","2.99","low"
"1","0.99","low"
"1","5.99","low"
"1","0.99","low"
"1","9.99","high"
"1","4.99","low"
"1","4.99","low"
"1","0.99","low"
"1","3.99","low"
"1","5.99","low"
"1","5.99","low"
"1","4.99","low"
"1","4.99","low"
"1","7.99","low"
"1","2.99","low"
"1","4.99","low"
"1","4.99","low"
"1","0.99","low"
"1","0.99","low"
"1","2.99","low"
"1","2.99","low"
"1","4.99","low"
"1","3.99","low"
"1","0.99","low"
"1","4.99","low"
"1","0.99","low"
"1","0.99","low"
"1","2.99","low"
"1","0.99","low"
"1","1.99","low"
"1","2.99","low"
"1","5.99","low"
"2","4.99","low"
"2","2.99","low"
"2","2.99","low"
"2","6.99","low"
"2","4.99","low"
"2","5.99","low"
"2","5.99","low"
"2","5.99","low"
"2","2.99","low"
"2","5.99","low"
"2","4.99","low"
"2","10.99","high"
"2","0.99","low"
"2","6.99","low"
"2","6.99","low"
"2","2.99","low"
"2","0.99","low"
"2","0.99","low"
"2","5.99","low"
"2","6.99","low"
"2","2.99","low"
"2","2.99","low"
"2","2.99","low"
"2","4.99","low"
"2","5.99","low"
"2","4.99","low"
"2","4.99","low"
"3","1.99","low"
"3","2.99","low"
"3","8.99","high"
"3","6.99","low"
"3","6.99","low"
"3","2.99","low"
"3","4.99","low"
"3","4.99","low"
"3","5.99","low"
"3","10.99","high"
"3","7.99","low"
"3","6.99","low"
"3","4.99","low"
"3","4.99","low"
"3","2.99","low"
"3","1.99","low"
"3","3.99","low"
"3","2.99","low"
"3","4.99","low"
"3","5.99","low"
"3","4.99","low"
"3","8.99","high"
"3","2.99","low"
"3","8.99","high"
"3","0.99","low"
"3","2.99","low"
"5","0.99","low"
"5","6.99","low"
"5","1.99","low"
"5","3.99","low"
"5","2.99","low"
"5","4.99","low"
"5","2.99","low"
"5","4.99","low"
"5","4.99","low"
"5","2.99","low"
"5","4.99","low"
"5","5.99","low"
"5","1.99","low"
"5","0.99","low"
"5","8.99","high"
"5","3.99","low"
"5","4.99","low"
"5","0.99","low"
"5","0.99","low"
"5","3.99","low"
"5","2.99","low"
"5","1.99","low"
"5","4.99","low"
"5","3.99","low"
"5","4.99","low"
"5","0.99","low"
"5","4.99","low"
"5","4.99","low"
"5","3.99","low"
"5","9.99","high"
"5","2.99","low"
"5","1.99","low"
"5","0.99","low"
"5","6.99","low"
"5","6.99","low"
"5","2.99","low"
"5","0.99","low"
"5","0.99","low"
"7","5.99","low"
"7","0.99","low"
"7","2.99","low"
"7","4.99","low"
"7","5.99","low"
"7","0.99","low"
"7","2.99","low"
"7","0.99","low"
"7","4.99","low"
"7","0.99","low"
"7","5.99","low"
"7","2.99","low"
"7","5.99","low"
"7","4.99","low"
"7","8.99","high"
"7","7.99","low"
"7","1.99","low"
"7","2.99","low"
"7","3.99","low"
"7","5.99","low"
"7","7.99","low"
"7","6.99","low"
"7","5.99","low"
"7","4.99","low"
"7","4.99","low"
"7","3.99","low"
"7","7.99","low"
"7","8.99","high"
"7","2.99","low"
"7","2.99","low"
"7","2.99","low"
"7","0.99","low"
"7","5.99","low"
"10","4.99","low"
"10","4.99","low"
"10","4.99","low"
"10","3.99","low"
"10","0.99","low"
"10","0.99","low"
"10","3.99","low"
"10","4.99","low"
"10","1.99","low"
"10","7.99","low"
"10","2.99","low"
"10","0.99","low"
"10","2.99","low"
"10","2.99","low"
"10","6.99","low"
"10","4.99","low"
"10","4.99","low"
"10","8.99","high"
"10","2.99","low"
"10","0.99","low"
"10","2.99","low"
"10","2.99","low"
"10","4.99","low"
"10","2.99","low"
"10","5.99","low"
"12","4.99","low"
"12","4.99","low"
"12","5.99","low"
"12","5.99","low"
"12","5.99","low"
"12","4.99","low"
