"actor_name","num_appearances_of_actor_name"
"ADAM GRANT","1"
"ADAM HOPPER","1"
"AL GARLAND","1"
"ALAN DREYFUSS","1"
"ALBERT JOHANSSON","1"
"ALBERT NOLTE","1"
"ALEC WAYNE","1"
"ANGELA HUDSON","1"
"ANGELA WITHERSPOON","1"
"ANGELINA ASTAIRE","1"
"ANNE CRONYN","1"
"AUDREY BAILEY","1"
"AUDREY OLIVIER","1"
"BELA WALKEN","1"
"BEN HARRIS","1"
"BEN WILLIS","1"
"BETTE NICHOLSON","1"
"BOB FAWCETT","1"
"BURT DUKAKIS","1"
"BURT POSEY","1"
"BURT TEMPLE","1"
"CAMERON STREEP","1"
"CAMERON WRAY","1"
"CAMERON ZELLWEGER","1"
"CARMEN HUNT","1"
"CARY MCCONAUGHEY","1"
"CATE HARRIS","1"
"CATE MCQUEEN","1"
"CHARLIZE DENCH","1"
"CHRIS BRIDGES","1"
"CHRIS DEPP","1"
"CHRISTIAN AKROYD","1"
"CHRISTIAN GABLE","1"
"CHRISTIAN NEESON","1"
"CHRISTOPHER BERRY","1"
"CHRISTOPHER WEST","1"
"CUBA ALLEN","1"
"CUBA BIRCH","1"
"CUBA OLIVIER","1"
"DAN HARRIS","1"
"DAN STREEP","1"
"DAN TORN","1"
"DARYL CRAWFORD","1"
"DARYL WAHLBERG","1"
"DEBBIE AKROYD","1"
"DUSTIN TAUTOU","1"
"ED CHASE","1"
"ED GUINESS","1"
"ED MANSFIELD","1"
"ELLEN PRESLEY","1"
"ELVIS MARX","1"
"EMILY DEE","1"
"EWAN GOODING","1"
"FAY KILMER","1"
"FAY WINSLET","1"
"FAY WOOD","1"
"FRANCES DAY-LEWIS","1"
"FRANCES TOMEI","1"
"FRED COSTNER","1"
"GARY PENN","1"
"GARY PHOENIX","1"
"GENE HOPKINS","1"
"GENE MCKELLEN","1"
"GENE WILLIS","1"
"GEOFFREY HESTON","1"
"GINA DEGENERES","1"
"GOLDIE BRODY","1"
"GRACE MOSTEL","1"
"GREG CHAPLIN","1"
"GREGORY GOODING","1"
"GRETA KEITEL","1"
"GRETA MALDEN","1"
"GROUCHO DUNST","1"
