"amount_per_transaction","customer_id","cust_avg_payment"
"2.99","1","3.708750"
"0.99","1","3.708750"
"5.99","1","3.708750"
"0.99","1","3.708750"
"9.99","1","3.708750"
"4.99","1","3.708750"
"4.99","1","3.708750"
"0.99","1","3.708750"
"3.99","1","3.708750"
"5.99","1","3.708750"
"5.99","1","3.708750"
"4.99","1","3.708750"
"4.99","1","3.708750"
"7.99","1","3.708750"
"2.99","1","3.708750"
"4.99","1","3.708750"
"4.99","1","3.708750"
"0.99","1","3.708750"
"0.99","1","3.708750"
"2.99","1","3.708750"
"2.99","1","3.708750"
"4.99","1","3.708750"
"3.99","1","3.708750"
"0.99","1","3.708750"
"4.99","1","3.708750"
"0.99","1","3.708750"
"0.99","1","3.708750"
"2.99","1","3.708750"
"0.99","1","3.708750"
"1.99","1","3.708750"
"2.99","1","3.708750"
"5.99","1","3.708750"
"4.99","2","4.767778"
"2.99","2","4.767778"
"2.99","2","4.767778"
"6.99","2","4.767778"
"4.99","2","4.767778"
"5.99","2","4.767778"
"5.99","2","4.767778"
"5.99","2","4.767778"
"2.99","2","4.767778"
"5.99","2","4.767778"
"4.99","2","4.767778"
"10.99","2","4.767778"
"0.99","2","4.767778"
"6.99","2","4.767778"
"6.99","2","4.767778"
"2.99","2","4.767778"
"0.99","2","4.767778"
"0.99","2","4.767778"
"5.99","2","4.767778"
"6.99","2","4.767778"
"2.99","2","4.767778"
"2.99","2","4.767778"
"2.99","2","4.767778"
"4.99","2","4.767778"
"5.99","2","4.767778"
"4.99","2","4.767778"
"4.99","2","4.767778"
"1.99","3","5.220769"
"2.99","3","5.220769"
"8.99","3","5.220769"
"6.99","3","5.220769"
"6.99","3","5.220769"
"2.99","3","5.220769"
"4.99","3","5.220769"
"4.99","3","5.220769"
"5.99","3","5.220769"
"10.99","3","5.220769"
"7.99","3","5.220769"
"6.99","3","5.220769"
"4.99","3","5.220769"
"4.99","3","5.220769"
"2.99","3","5.220769"
"1.99","3","5.220769"
"3.99","3","5.220769"
"2.99","3","5.220769"
"4.99","3","5.220769"
"5.99","3","5.220769"
"4.99","3","5.220769"
"8.99","3","5.220769"
"2.99","3","5.220769"
"8.99","3","5.220769"
"0.99","3","5.220769"
"2.99","3","5.220769"
"0.99","5","3.805789"
"6.99","5","3.805789"
"1.99","5","3.805789"
"3.99","5","3.805789"
"2.99","5","3.805789"
"4.99","5","3.805789"
"2.99","5","3.805789"
"4.99","5","3.805789"
"4.99","5","3.805789"
"2.99","5","3.805789"
"4.99","5","3.805789"
"5.99","5","3.805789"
"1.99","5","3.805789"
"0.99","5","3.805789"
"8.99","5","3.805789"
"3.99","5","3.805789"
"4.99","5","3.805789"
"0.99","5","3.805789"
"0.99","5","3.805789"
"3.99","5","3.805789"
"2.99","5","3.805789"
"1.99","5","3.805789"
"4.99","5","3.805789"
"3.99","5","3.805789"
"4.99","5","3.805789"
"0.99","5","3.805789"
"4.99","5","3.805789"
"4.99","5","3.805789"
"3.99","5","3.805789"
"9.99","5","3.805789"
"2.99","5","3.805789"
"1.99","5","3.805789"
"0.99","5","3.805789"
"6.99","5","3.805789"
"6.99","5","3.805789"
"2.99","5","3.805789"
"0.99","5","3.805789"
"0.99","5","3.805789"
"5.99","7","4.596061"
"0.99","7","4.596061"
"2.99","7","4.596061"
"4.99","7","4.596061"
"5.99","7","4.596061"
"0.99","7","4.596061"
"2.99","7","4.596061"
"0.99","7","4.596061"
"4.99","7","4.596061"
"0.99","7","4.596061"
"5.99","7","4.596061"
"2.99","7","4.596061"
"5.99","7","4.596061"
"4.99","7","4.596061"
"8.99","7","4.596061"
"7.99","7","4.596061"
"1.99","7","4.596061"
"2.99","7","4.596061"
"3.99","7","4.596061"
"5.99","7","4.596061"
"7.99","7","4.596061"
"6.99","7","4.596061"
"5.99","7","4.596061"
