"amount_per_transacton","customer_id"
"2.99","1"
"0.99","1"
"5.99","1"
"0.99","1"
"9.99","1"
"4.99","1"
"4.99","1"
"0.99","1"
"3.99","1"
"5.99","1"
"5.99","1"
"4.99","1"
"4.99","1"
"7.99","1"
"2.99","1"
"4.99","1"
"4.99","1"
"0.99","1"
"0.99","1"
"2.99","1"
"2.99","1"
"4.99","1"
"3.99","1"
"0.99","1"
"4.99","1"
"0.99","1"
"0.99","1"
"2.99","1"
"0.99","1"
"1.99","1"
"2.99","1"
"5.99","1"
"4.99","2"
"2.99","2"
"2.99","2"
"6.99","2"
"4.99","2"
"5.99","2"
"5.99","2"
"5.99","2"
"2.99","2"
"5.99","2"
"4.99","2"
"10.99","2"
"0.99","2"
"6.99","2"
"6.99","2"
"2.99","2"
"0.99","2"
"0.99","2"
"5.99","2"
"6.99","2"
"2.99","2"
"2.99","2"
"2.99","2"
"4.99","2"
"5.99","2"
"4.99","2"
"4.99","2"
"1.99","3"
"2.99","3"
"8.99","3"
"6.99","3"
"6.99","3"
"2.99","3"
"4.99","3"
"4.99","3"
"5.99","3"
"10.99","3"
"7.99","3"
"6.99","3"
"4.99","3"
"4.99","3"
"2.99","3"
"1.99","3"
"3.99","3"
"2.99","3"
"4.99","3"
"5.99","3"
"4.99","3"
"8.99","3"
"2.99","3"
"8.99","3"
"0.99","3"
"2.99","3"
"0.99","5"
"6.99","5"
"1.99","5"
"3.99","5"
"2.99","5"
"4.99","5"
"2.99","5"
"4.99","5"
"4.99","5"
"2.99","5"
"4.99","5"
"5.99","5"
"1.99","5"
"0.99","5"
"8.99","5"
"3.99","5"
"4.99","5"
"0.99","5"
"0.99","5"
"3.99","5"
"2.99","5"
"1.99","5"
"4.99","5"
"3.99","5"
"4.99","5"
"0.99","5"
"4.99","5"
"4.99","5"
"3.99","5"
"9.99","5"
"2.99","5"
"1.99","5"
"0.99","5"
"6.99","5"
"6.99","5"
"2.99","5"
"0.99","5"
"0.99","5"
"5.99","7"
"0.99","7"
"2.99","7"
"4.99","7"
"5.99","7"
"0.99","7"
"2.99","7"
"0.99","7"
"4.99","7"
"0.99","7"
"5.99","7"
"2.99","7"
"5.99","7"
"4.99","7"
"8.99","7"
"7.99","7"
"1.99","7"
"2.99","7"
