"film_title","actor_name","cat_name"
"AMADEUS HOLY","JOHNNY LOLLOBRIGIDA","Action"
"AMADEUS HOLY","JULIA MCQUEEN","Action"
"AMADEUS HOLY","VAL BOLGER","Action"
"AMADEUS HOLY","KIRK JOVOVICH","Action"
"AMADEUS HOLY","JAMES PITT","Action"
"AMADEUS HOLY","PENELOPE CRONYN","Action"
"AMERICAN CIRCUS","KEVIN BLOOM","Action"
"AMERICAN CIRCUS","RIP CRAWFORD","Action"
"AMERICAN CIRCUS","SIDNEY CROWE","Action"
"AMERICAN CIRCUS","WARREN JACKMAN","Action"
"AMERICAN CIRCUS","FRANCES TOMEI","Action"
"ANTITRUST TOMATOES","BETTE NICHOLSON","Action"
"ANTITRUST TOMATOES","UMA WOOD","Action"
"ANTITRUST TOMATOES","SIDNEY CROWE","Action"
"ANTITRUST TOMATOES","SALMA NOLTE","Action"
"ANTITRUST TOMATOES","WILLIAM HACKMAN","Action"
"ANTITRUST TOMATOES","RENEE BALL","Action"
"ANTITRUST TOMATOES","REESE WEST","Action"
"ARK RIDGEMONT","PARKER GOLDBERG","Action"
"ARK RIDGEMONT","NICK DEGENERES","Action"
"ARK RIDGEMONT","AUDREY BAILEY","Action"
"BAREFOOT MANCHURIAN","JENNIFER DAVIS","Action"
"BAREFOOT MANCHURIAN","ELVIS MARX","Action"
"BAREFOOT MANCHURIAN","MILLA PECK","Action"
"BAREFOOT MANCHURIAN","KIRK JOVOVICH","Action"
"BAREFOOT MANCHURIAN","DARYL CRAWFORD","Action"
"BAREFOOT MANCHURIAN","ED MANSFIELD","Action"
"BAREFOOT MANCHURIAN","MORGAN WILLIAMS","Action"
"BAREFOOT MANCHURIAN","WILL WILSON","Action"
"BERETS AGENT","GRACE MOSTEL","Action"
"BERETS AGENT","JULIA BARRYMORE","Action"
"BERETS AGENT","JESSICA BAILEY","Action"
"BERETS AGENT","JULIANNE DENCH","Action"
"BERETS AGENT","CATE HARRIS","Action"
"BERETS AGENT","ANGELA WITHERSPOON","Action"
"BERETS AGENT","IAN TANDY","Action"
